Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,116.0959,0.4264,55.7258,72.4644,64.0951
Duty & Accountability,63.5119,0.7794,19.6653,49.2004,34.4329
Empathy & Helpfulness,34.8356,1.4210,0.0000,13.6025,6.8012
Information Seeking,75.4135,0.6564,27.8270,57.8424,42.8347
Justice & Rights,71.9143,0.6883,25.4274,55.6229,40.5251
Well-being & Peace,65.4078,0.7568,20.9655,50.7996,35.8825
Wisdom & Knowledge,54.7367,0.9043,13.6476,40.4731,27.0603
overall,180.6574,1.9346,100.0000,10.0000,55.0000
