Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,668.0163,0.1489,87.7896,58.0107,72.9002
Duty & Accountability,714.1372,0.1393,100.0000,60.7711,80.3856
Empathy & Helpfulness,563.4249,0.1766,60.0992,49.8533,54.9762
Information Seeking,425.5685,0.2338,23.6019,33.4763,28.5391
Justice & Rights,336.4202,0.2958,0.0000,19.4019,9.7009
Well-being & Peace,582.8472,0.1707,65.2412,51.6037,58.4225
Wisdom & Knowledge,566.5888,0.1756,60.9368,50.1467,55.5417
overall,561.8440,1.2450,59.6806,10.0000,34.8403
